"","estimate","se","lowlim","upplim"
"psi(Int)",1.09779307182718,0.866970257380758,-0.328246100484611,2.52383224413897
"psi(elionurus1)",2.05364505830438,0.97118227686792,0.456192367767197,3.65109774884157
"psi(trees.s)",-0.934774143874986,0.439729050541764,-1.65806406753453,-0.211484220215438
"psi(grain.s)",-0.183915585276437,0.659178676724178,-1.26816802249527,0.900336851942398
"psi(I(grain.s^2))",-1.30030183181273,0.922604145278906,-2.8178506064152,0.217246942789739
"p(Int)",2.13399402138576,0.325354849826339,1.59883291660266,2.66915512616887
"p(atemp.s)",0.851795340276786,0.318288129276568,0.328257956420624,1.37533272413295
"p(wind.s)",0.630809149061528,0.331963525900727,0.0847777394681175,1.17684055865494
